gene,n_four_finite,protein_mean,rna_mean,same_direction
ABR,20,0.640278049548626,0.15156714678381344,True
ABRACL,72,-0.2761598410458166,-0.22219864562359973,True
ABT1,65,0.7064345227499029,0.5045166046430716,True
ABTB2,52,-0.09732585395992718,-1.137992428785006,True
ACAA1,72,-1.4322942199226292,-2.586086391707575,True
ACAA2,72,-0.7188261694932805,-0.7342245113318371,True
ACACB,55,-0.19730054000023758,-1.1329553450894074,True
ACAD11,72,-0.06106081043795691,0.8865110285708496,False
ACAD8,72,-1.5352213579737655,-1.3103367000427513,True
ACAD9,72,-0.7186399689591444,-0.017067578255491385,True
ACADL,72,-0.5337411709567861,0.07735583662755172,False
ACADM,72,-1.4343630999655905,-1.1487195195374749,True
ACADS,72,-0.594057035740705,-0.1094883627723752,True
ACADSB,72,-1.6052986594070193,-2.1744634830113467,True
ACADVL,72,-0.580192227869293,-0.04927020495742656,True
ACAP1,68,0.5773893985042249,0.970010860025905,True
ACAP2,72,0.29450644530840775,0.4932509946379283,True
ACAP3,47,-0.11012764362410032,-0.14916908965770082,True
ACAT1,72,-1.3011939339962284,-1.7023422034875624,True
ACAT2,72,-0.21398143142920587,-0.4868241935030196,True
ACBD3,72,0.0762596283770264,0.43774577202674814,True
ACBD4,64,-0.15392407532733265,-0.18234389646220578,True
ACBD6,72,0.5456734895447499,0.3545104261542313,True
ACCS,32,-0.4168441705864937,0.04607515349659948,False
ACD,22,0.4926442250614041,0.5999745067679492,True
ACE,72,-1.293817498834299,-0.7264858406912281,True
ACE2,72,-0.3749167039809668,-1.1151757330768326,True
ACIN1,69,-0.1173314375520481,-0.2003504282640683,True
ACLY,72,1.6909027908597016,1.1907262314079659,True
ACMSD,72,-1.3773790821109084,-0.9696238000407317,True
ACO1,72,-1.2487711776287505,-1.2590900803401048,True
ACO2,72,-0.9172681434321296,-1.0220620636219504,True
ACOT1,67,-0.214081925461073,-1.1326789504689856,True
ACOT11,72,-1.2401345479325552,-1.754328484691739,True
ACOT13,72,-1.0622704579907762,-0.780893923654065,True
ACOT2,72,-1.3142993057221872,-1.5602730789511794,True
ACOT4,72,-0.7937339441993267,-0.7010215819856904,True
ACOT8,72,-0.7376578459105526,-0.5317679710847492,True
ACOT9,72,-0.8336139455380275,0.07106811826647112,False
ACOX1,72,-0.2973587626514961,-1.146191549562821,True
ACOX2,72,-1.5482345113470544,-2.7741890145325,True
ACOX3,72,-0.5818130482924294,-0.33754161788180276,True
ACP1,72,0.3592968705006586,0.281587622401464,True
ACP2,72,-0.31539095401017203,-0.1717746715154257,True
ACP5,72,0.11977869456572934,-0.5253262834519801,False
ACP6,72,-1.1138934974398615,-0.4519131435017406,True
ACPP,72,-1.5929411814918817,-3.250525348174934,True
ACSF2,72,-2.143135478522457,-4.261574249228123,True
ACSF3,72,-1.1064442176364022,-0.33825285098040553,True
ACSL1,72,-0.9145503450310954,-0.720143769572588,True
ACSL3,72,0.2684027898910566,-0.4054577926987777,False
ACSL4,72,-0.6550705104893886,-0.87865275822207,True
ACSL5,72,0.763236934574824,1.1057239936767607,True
ACSM2A,72,-1.637206628673225,-1.7491242481692901,True
ACSM2B,72,-1.78340807986294,-1.9666185923781123,True
ACSM3,72,-1.8415821655061793,-1.6505820354078868,True
ACSM4,22,-1.6459446399569493,0.27194697346019814,False
ACSM5,72,-0.2946206947352476,0.4125727637983022,False
ACSS1,72,-1.0115543093133985,-0.8491625245014196,True
ACSS2,72,-0.3484627142902872,-1.3674116045343763,True
ACSS3,72,-1.2864707387367582,-1.147607367070732,True
ACTA1,63,0.2116886218067742,0.0008065858599149321,True
ACTA2,72,-0.5065168567853223,0.7148313384122555,False
ACTB,72,0.0035213311297058922,0.42338666261036006,True
